,country,description,designation,points,price,province,variety
4822,Portugal,"Both herbal and tropical in character, this wine presents a fascinating mix between cool and warm climate grapes from the same region. The mineral, tight texture holds these two disparate flavors together to give a balanced wine that is ready to drink.",Premium,88,,Tejo,Alvarinho-Chardonnay
46647,Portugal,"The Chardonnay and Alvarinho complement each other well, the one bringing a rounded texture, the other adding a fresh and mineral character. Together, they produce a refreshing, ripe wine that has attractive citrus and yellow fruits. Drink from 2015.",DFJ,87,11,Lisboa,Alvarinho-Chardonnay
72111,Portugal,"Two complementary grapes produce this ripe wine that's full of citrus flavors and balanced with pear and peach. It's rounded and rich in its texture, with a touch of honey to go with the lemon acidity on the finish.",Point West,87,9,Lisboa,Alvarinho-Chardonnay
