,country,description,designation,points,price,province,variety
14295,Spain,"There's a reason Airén is used as a base grape for brandy and Sherry wines, and it's because it's not up to table-wine quality, even at the value price point. This wine is corny and lacks freshness. It's dull, wayward and offers little to no structure. Barely drinkable.",Airén,80,9,Central Spain,Airen
50835,Spain,"There's a reason Airén is used as a base grape for brandy and Sherry wines, and it's because it's not up to table-wine quality, even at the value price point. This wine is corny and lacks freshness. It's dull, wayward and offers little to no structure. Barely drinkable.",Airén,80,9,Central Spain,Airen
56859,Spain,"Airén is a big-crop white grape that is usually distilled into brandy or made into Sherry. But here we see it as a dry white table wine, and while it is limited in scope, the wine's punch-bowl approach and cleansing lime and kiwi flavors are decent.",,83,8,Central Spain,Airen
90149,Spain,"This is neutral on the nose except for a hint of white flower and peach. It's snappy but basic feeling, with a stalky apple flavor. It finishes dry and lemony, with a corny flavor.",Diego de Almagro,82,10,Central Spain,Airen
96459,Spain,"Airén is a big-crop white grape that is usually distilled into brandy or made into Sherry. But here we see it as a dry white table wine, and while it is limited in scope, the wine's punch-bowl approach and cleansing lime and kiwi flavors are decent.",,83,8,Central Spain,Airen
105915,Spain,"There's a reason Airén is used as a base grape for brandy and Sherry wines, and it's because it's not up to table-wine quality, even at the value price point. This wine is corny and lacks freshness. It's dull, wayward and offers little to no structure. Barely drinkable.",Airén,80,9,Central Spain,Airen
