,country,description,designation,points,price,province,variety
75349,Portugal,"A full-bodied wine, ripely fruity while preserving the natural, cool freshness of a Vinho Verde. It is richly endowed with apple and pear flavors, a touch of yellow fruit and a just a hint of spice. One in a series of single variety wines from Vilacetinho.",,89,15,Vinho Verde,Avesso
79119,Portugal,"There is a definite spritz to this ripe and creamy wine. It has the freshest fruit, of course, rounded out by a baked apple flavor and sweet grapefruit acidity. Weight as well as freshness.",Avesso,89,13,Vinho Verde,Avesso
96092,Portugal,"Avesso, a rare varietal in the Vinho Verde region, has produced a smooth and ripe wine. It has flavors of green olive, pear and a tight citrus character. There's fine depth of flavor on this delicious wine.",,88,16,Vinho Verde,Avesso
