,country,description,designation,points,price,province,variety
108089,Canada,"A beautiful Quebec classic ice cider, with vibrant notes of fresh apple slices drizzled with honey and clove. Round and full in the mouth without being overly heavy and cloying, the tangerine citrus lifts up the sweeter ripe baked apple and superripe stone fruit flavors. Long and immensely satisfying on the finish; a great after dinner sipper for company.",Neige Apple Ice Wine,90,35,Canada Other,Apple
108342,Canada,"With over 80 apples used to produce each bottle, there's no question as to what the dominating fruit character is here. Aromas of apple skins, clove and ginger on the nose transition to flavors of candied apple, white grape and honeyed apricot in the sticky, viscous mouth. Long and lingering on the finish; a dessert wine sure to please those with a sweet tooth.",Ice Apple Wine,89,33,Canada Other,Apple
108356,US,"A lovely drink from a winery in Massachusetts where all they produce is apple ice wine. One sip and you're instantly transported to standing in an orchard on a brisk fall afternoon, with forward aromas and flavors of baked apples with soft spice, caramel and tangerine citrus. Full in the mouth with moderate acidity and a crisp, clean finish.",Apfel Eis Apple Ice Wine,89,25,Massachusetts,Apple
120929,Canada,"A beautiful Quebec classic ice cider, with vibrant notes of fresh apple slices drizzled with honey and clove. Round and full in the mouth without being overly heavy and cloying, the tangerine citrus lifts up the sweeter ripe baked apple and superripe stone fruit flavors. Long and immensely satisfying on the finish; a great after dinner sipper for company.",Neige Apple Ice Wine,90,35,Canada Other,Apple
121242,Canada,"With over 80 apples used to produce each bottle, there's no question as to what the dominating fruit character is here. Aromas of apple skins, clove and ginger on the nose transition to flavors of candied apple, white grape and honeyed apricot in the sticky, viscous mouth. Long and lingering on the finish; a dessert wine sure to please those with a sweet tooth.",Ice Apple Wine,89,33,Canada Other,Apple
121256,US,"A lovely drink from a winery in Massachusetts where all they produce is apple ice wine. One sip and you're instantly transported to standing in an orchard on a brisk fall afternoon, with forward aromas and flavors of baked apples with soft spice, caramel and tangerine citrus. Full in the mouth with moderate acidity and a crisp, clean finish.",Apfel Eis Apple Ice Wine,89,25,Massachusetts,Apple
