,country,description,designation,points,price,province,variety
153,Greece,"Bright aromas of citrus and tropical fruit give this easygoing white an easy appeal. Balanced and fresh, it's an elegant wine that will pair well with grilled fish and salads.",,89,21,Santorini,Assyrtiko
559,Greece,"Crisp acidity and a gorgeous, aromatic nose lead on this elegant white. Though mineral-driven, it offers generous white peach and grapefruit flavors that will pair well with fuller-bodied fish. Impressive and versatile.",,90,20,Santorini,Assyrtiko
811,Greece,"Crisp acidity and a gorgeous, aromatic nose lead on this elegant white. Though mineral-driven, it offers generous white peach and grapefruit flavors that will pair well with fuller-bodied fish. Impressive and versatile.",,90,20,Santorini,Assyrtiko
1133,,"Delicate white flowers and a spin of lemon peel on the nose start this refined white. The bright fruit on the palate is tropical and exotic, but the minerality gives it lift. Fuller-bodied but poised, the wine has aging potential and a food-friendly character.",Askitikos,90,17,,Assyrtiko
1417,Greece,"Pineapple and lime peel start the nose of this layered Assyrtiko. On the palate, it unfolds with a combination of lemon peel, grapefruit and sea salt. This wine can age for several years but is good to drink now; pair with lamb, fresh fish or Asian cuisine.",,90,28,Santorini,Assyrtiko
7028,Greece,"Soft white peach and citrus aromas are touched by a wave of vanilla in this pretty white. On the palate, it offers full-bodied fruit and spice flavors but never loses its balance and finesse. A friendly and easy-going wine with enough body to pair against richer dishes.",Fermented in Oak Barrel,87,30,Santorini,Assyrtiko
30386,Greece,"The fuller bodied, layered Assyrtiko from northern Greece starts with aromas of grapefruit, lemon and pineapple, followed by exotic fruit and sea salt on the palate. Vibrant but offering softer fruit flavors, the wine finishes fresh and clean.",Château Julia,88,18,Drama,Assyrtiko
33675,Greece,"A fresh and fruity nose of lemon, white flowers and peach give this Assytriko a more feminine edge. On the palate, it's smooth but spicy, with lemon blossom and brine dancing on the palate. Good and easy to drink.",,86,18,Santorini,Assyrtiko
