,country,description,designation,points,price,province,variety
3170,Portugal,"A bold, rich wine fringed with tannins, at a young age it already shows a solid structure of ripe and juicy berry tones. With well-balanced oak aging, slightly toasty notes show restraint on this dark and complex wine that has potential to age. Drink after 2016.",,90,24,Alentejano,Aragonez
29215,Portugal,"Aragonez, aka Tempranillo, here produces a ripe, juicy, red-fruit laden wine. Hedgerow fruits add a more stalky character to the palate. The whole wine is generously suffused with fresh acidity. Screwcap.",Ciconia,85,10,Alentejano,Aragonez
38159,Portugal,"Aragonez, aka Tempranillo, is the Tinta Roriz of the Alentejo—just to make things simple. Whatever the name, the smooth, rich character of this wine is characteristic of the grape. It has weight, ripe damson fruit and a core of powerful tannins. Age for 3–4 years.",,90,,Alentejano,Aragonez
39901,Portugal,"A ripe, smoky wood- and black fruit-driven wine. It has richness with structure, a smooth texture and just the right level of acidity. A delicious wine, ready to drink now.",,89,45,Alentejano,Aragonez
40451,Portugal,"This is an herbal wine made without any use of sulfur. Mint and eucalyptus flavors bring freshness to the rich blackberry fruits. With a solid sense of structure, it's a big wine in all senses, very dark and brooding, needing time. Drink from 2017.",Terra D'Alter Zero SO2,90,15,Alentejano,Aragonez
48777,Portugal,"Initially just juicy black currants, it shows a more structured side very slowly. The result is a fruity wine, ready to drink soon.",Aragonês da Peceguina,85,27,Alentejano,Aragonez
83761,Portugal,"A ripe, smoky wood- and black fruit-driven wine. It has richness with structure, a smooth texture and just the right level of acidity. A delicious wine, ready to drink now.",,89,45,Alentejano,Aragonez
98733,Portugal,"Fruity, juicy and packed with red berry fruit, this is an attractive, easy-drinking wine. It is rich, with good dense flavors that are balanced by raspberry-like acidity on the finish.",,86,10,Lisboa,Aragonez
101375,Portugal,"This is a smooth, rounded wine, showing the elegant side of this Portuguese version of Tempranillo. It certainly has richness, but this is well handled, leaving a delicious, fruity wine to drink now.",,90,17,Alentejano,Aragonez
